from_domain,from_table,from_column,to_domain,to_table,to_column,business_label
Organigramma,org_unit,legacy_team_id,Operazioni sul campo,team,id,org_unit.legacy_team_id collega a team (legacy_team)
Organigramma,org_unit,parent_id,Organigramma,org_unit,id,org_unit.parent_id collega a org_unit (parent)
Organigramma,org_unit,updated_by_user_id,Accessi e permessi,application_users,id,org_unit.updated_by_user_id collega a application_users (updated_by_user)
Organigramma,org_unit,wc_area_id,Operazioni sul campo,wc_area,id,org_unit.wc_area_id collega a wc_area (wc_area)
Organigramma,org_visibility_override,created_by_user_id,Accessi e permessi,application_users,id,org_visibility_override.created_by_user_id collega a application_users (created_by_user)
Organigramma,org_visibility_override,target_org_unit_id,Organigramma,org_unit,id,org_visibility_override.target_org_unit_id collega a org_unit (target_org_unit)
Organigramma,org_visibility_override,target_user_id,Accessi e permessi,application_users,id,org_visibility_override.target_user_id collega a application_users (target_user)
Organigramma,org_visibility_override,updated_by_user_id,Accessi e permessi,application_users,id,org_visibility_override.updated_by_user_id collega a application_users (updated_by_user)
Organigramma,org_visibility_override,viewer_user_id,Accessi e permessi,application_users,id,org_visibility_override.viewer_user_id collega a application_users (viewer_user)
Presenze,organization_team_memberships,collaborator_id,Presenze,presenze_collaborators,id,organization_team_memberships.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,organization_team_memberships,created_by_user_id,Accessi e permessi,application_users,id,organization_team_memberships.created_by_user_id collega a application_users (created_by_user)
Presenze,organization_team_memberships,team_id,Presenze,organization_teams,id,organization_team_memberships.team_id collega a organization_teams (team)
Presenze,organization_team_supervisor_assignments,application_user_id,Accessi e permessi,application_users,id,organization_team_supervisor_assignments.application_user_id collega a application_users (application_user)
Presenze,organization_team_supervisor_assignments,assigned_by_user_id,Accessi e permessi,application_users,id,organization_team_supervisor_assignments.assigned_by_user_id collega a application_users (assigned_by_user)
Presenze,organization_team_supervisor_assignments,team_id,Presenze,organization_teams,id,organization_team_supervisor_assignments.team_id collega a organization_teams (team)
Presenze,organization_teams,created_by_user_id,Accessi e permessi,application_users,id,organization_teams.created_by_user_id collega a application_users (created_by_user)
Accessi e permessi,permission_entries,share_id,Sincronizzazioni e audit,shares,id,permission_entries.share_id collega a shares (share)
Accessi e permessi,permission_entries,snapshot_id,Sincronizzazioni e audit,snapshots,id,permission_entries.snapshot_id collega a snapshots (snapshot)
Presenze,presenze_auto_sync_config,credential_id,Presenze,presenze_credentials,id,presenze_auto_sync_config.credential_id collega a presenze_credentials (credential)
Presenze,presenze_auto_sync_config,updated_by_user_id,Accessi e permessi,application_users,id,presenze_auto_sync_config.updated_by_user_id collega a application_users (updated_by_user)
Presenze,presenze_bank_hours_adjustments,collaborator_id,Presenze,presenze_collaborators,id,presenze_bank_hours_adjustments.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,presenze_bank_hours_adjustments,created_by_user_id,Accessi e permessi,application_users,id,presenze_bank_hours_adjustments.created_by_user_id collega a application_users (created_by_user)
Presenze,presenze_bank_hours_adjustments,reviewed_by_user_id,Accessi e permessi,application_users,id,presenze_bank_hours_adjustments.reviewed_by_user_id collega a application_users (reviewed_by_user)
Presenze,presenze_bank_hours_adjustments,updated_by_user_id,Accessi e permessi,application_users,id,presenze_bank_hours_adjustments.updated_by_user_id collega a application_users (updated_by_user)
Presenze,presenze_bank_hours_guidance_config,updated_by_user_id,Accessi e permessi,application_users,id,presenze_bank_hours_guidance_config.updated_by_user_id collega a application_users (updated_by_user)
Presenze,presenze_bank_hours_guidance_config_revisions,changed_by_user_id,Accessi e permessi,application_users,id,presenze_bank_hours_guidance_config_revisions.changed_by_user_id collega a application_users (changed_by_user)
