source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
9_1_7,operator_activity,3,,28_1D_1L:9_1_7 | 28_1D_2L:9_1_7,,,,,ambiguous_subdistrict | operator_activity
9_1_8,operator_activity,3,,28_1D_1L:9_1_8 | 28_1D_2L:9_1_8,,,,,ambiguous_subdistrict | operator_activity
9_1_9,operator_activity,3,,28_1D_1L:9_1_9 | 28_1D_2L:9_1_9,,,,,ambiguous_subdistrict | operator_activity
9_1_9_E,operator_activity,3,,,28_1D_1L:9_1_9 | 28_1D_2L:9_1_9,,,,ambiguous_subdistrict | operator_activity
9_1_9_I,operator_activity,3,,,28_1D_1L:9_1_9 | 28_1D_2L:9_1_9,,,,ambiguous_subdistrict | operator_activity
C_E1_2-2,meter_reading,3,1857,,,,,,
W1-1_3_C,operator_activity,3,,,,,,,operator_activity
W1-1_4_D,operator_activity,3,,,,,,,operator_activity
W2_-1A_7_G,operator_activity,3,,,,,,,operator_activity
W4-1A_5-E,operator_activity,3,,,,,,,operator_activity
W4-1_5-G,operator_activity,3,,,,,,,operator_activity
W5-2_1,meter_reading,3,670230,,,,,,
W5-2_2,meter_reading,3,670910,,,,,,
W5-2_3,meter_reading,3,671010,,,,,,
W5-2_4,meter_reading,3,671060,,,,,,
W5-2_5,meter_reading,3,670030,,,,,,
W6-11_1,operator_activity,3,,,,,,,operator_activity
W6-11_2,operator_activity,3,,,,,,,operator_activity
W6-11_3,dismissed_point,3,,,,,,,dismissed_point
W6-11_3_A,operator_activity,3,,,,,,,operator_activity
W6-11_4,operator_activity,3,,,,,,,operator_activity
W6-11_5,operator_activity,3,,,,,,,operator_activity
W6-11_6,meter_reading,3,,,,,,,
W6-11_6_B,operator_activity,3,,,,,,,operator_activity
W6-11_6_C,operator_activity,3,,,,,,,operator_activity
W6-12_2__C,operator_activity,3,,,,,,,operator_activity
15_1_3,meter_reading,2,674180,28_1D_1L:15_1_3 | 28_1D_2L:15_1_3,,,,,ambiguous_subdistrict
18_1_12,meter_reading | operator_activity,2,402,28_1D_1L:18_1_12 | 28_1D_2L:18_1_12,,,,,ambiguous_subdistrict | operator_activity
9_1_1,operator_activity,2,,28_1D_1L:9_1_1 | 28_1D_2L:9_1_1,,,,,ambiguous_subdistrict | operator_activity
9_1_12,operator_activity,2,1,28_1D_1L:9_1_12 | 28_1D_2L:9_1_12,,,,,ambiguous_subdistrict | operator_activity
9_1_2,operator_activity,2,,28_1D_1L:9_1_2 | 28_1D_2L:9_1_2,,,,,ambiguous_subdistrict | operator_activity
9_1_3,operator_activity,2,,28_1D_1L:9_1_3 | 28_1D_2L:9_1_3,,,,,ambiguous_subdistrict | operator_activity
.,meter_reading,1,,,,,,,
11_O_12,meter_reading,1,680490,,,,,,
11_O_12_H,operator_activity,1,,,,,,,operator_activity
11_O_12_I,operator_activity,1,,,,,,,operator_activity
11_O_12_L,operator_activity,1,,,,,,,operator_activity
14_1_10,operator_activity,1,,28_1D_1L:14_1_10 | 28_1D_2L:14_1_10,,,,,ambiguous_subdistrict | operator_activity
14_1_3,operator_activity,1,,28_1D_1L:14_1_3 | 28_1D_2L:14_1_3,,,,,ambiguous_subdistrict | operator_activity
14_1_4,operator_activity,1,,28_1D_1L:14_1_4 | 28_1D_2L:14_1_4,,,,,ambiguous_subdistrict | operator_activity
14_1_8,operator_activity,1,,28_1D_1L:14_1_8 | 28_1D_2L:14_1_8,,,,,ambiguous_subdistrict | operator_activity
15_111_1,meter_reading,1,1008,,,,,,
15_11_3,operator_activity,1,,28_1D_1L:15_11_3 | 28_1D_2L:15_11_3,,,,,ambiguous_subdistrict | operator_activity
15_11_4,operator_activity,1,,28_1D_1L:15_11_4 | 28_1D_2L:15_11_4,,,,,ambiguous_subdistrict | operator_activity
15_11_5,operator_activity,1,,28_1D_1L:15_11_5 | 28_1D_2L:15_11_5,,,,,ambiguous_subdistrict | operator_activity
15_11_6,meter_reading,1,,28_1D_1L:15_11_6 | 28_1D_2L:15_11_6,,,,,ambiguous_subdistrict
15_11_7,meter_reading,1,,28_1D_1L:15_11_7 | 28_1D_2L:15_11_7,,,,,ambiguous_subdistrict
